elected,expired,dob,pageUrl,education,constituency,name,club,votes,history,party,votes/_source,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate
05-06-2014,None,"03-02-1975, Wrocław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=474,wyższe,3 Wrocław,Piotr Łukasz Babiarz,Klub Parlamentarny Prawo i Sprawiedliwość,3575,brak,Prawo i Sprawiedliwość,3575,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
05-06-2014,None,"12-09-1983, Wrocław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=476,średnie ogólne,3 Wrocław,Przemysław Czarnecki,Klub Parlamentarny Prawo i Sprawiedliwość,6222,brak,Prawo i Sprawiedliwość,6222,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
05-06-2014,None,"25-05-1958, Wrocław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=479,wyższe,3 Wrocław,Aldona Młyńczak,Klub Parlamentarny Platforma Obywatelska,4855,"poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,4855,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1
05-06-2014,None,"07-06-1952, Katowice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=482,wyższe,31 Katowice,Jan Rzymełka,Klub Parlamentarny Platforma Obywatelska,7821,"poseł X kadencji, poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,7821,1:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,7,1
05-06-2014,None,"23-04-1965, Poznań",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=480,wyższe,39 Poznań,Marek Niedbała,Klub Poselski Sojusz Lewicy Demokratycznej,4442,brak,Sojusz Lewicy Demokratycznej,4442,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
05-06-2014,None,"17-09-1950, Poznań",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=488,wyższe,39 Poznań,Michał Stuligrosz,Klub Parlamentarny Platforma Obywatelska,10692,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,10692,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
05-06-2014,None,"26-06-1974, Bydgoszcz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=478,wyższe,4 Bydgoszcz,Piotr Król,Klub Parlamentarny Prawo i Sprawiedliwość,5797,brak,Prawo i Sprawiedliwość,5797,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
07-11-2014,None,"03-01-1954, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=493,wyższe,19 Warszawa,Ewa Czeszejko-Sochacka,Klub Parlamentarny Platforma Obywatelska,2466,brak,Platforma Obywatelska,2466,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
08-05-2013,None,"27-06-1965, Rybnik",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=468,wyższe,30 Rybnik,Grzegorz Janik,Klub Parlamentarny Prawo i Sprawiedliwość,5236,"poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,5236,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1
08-11-2011,None,"22-11-1969, Łopuszno",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=461,wyższe,33 Kielce,Marek Gos,Klub Parlamentarny Polskiego Stronnictwa Ludowego,4131,brak,Polskie Stronnictwo Ludowe,4131,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
08-11-2011,None,"03-09-1969, Lublin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=462,wyższe,6 Lublin,Henryk Smolarz,Klub Parlamentarny Polskiego Stronnictwa Ludowego,6191,poseł V kadencji,Polskie Stronnictwo Ludowe,6191,0:0:0:0:1:0:1,0:0:0:0:0:0:0:1,2,1,3,1
09-04-2015,None,"31-08-1945, Św. Katarzyna",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=510,wyższe,33 Kielce,Halina Olendzka,Klub Parlamentarny Prawo i Sprawiedliwość,2331,"poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,2331,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1
11-06-2015,None,"13-03-1969, Pilzno",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=511,wyższe,23 Rzeszów,Marek Poręba,Klub Parlamentarny Platforma Obywatelska,4271,brak,Platforma Obywatelska,4271,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
11-07-2012,None,"08-06-1957, Kraków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=467,wyższe,15 Tarnów,Elżbieta Achinger,Klub Parlamentarny Platforma Obywatelska,9273,brak,Platforma Obywatelska,9273,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
11-09-2013,None,"18-09-1965, Zagnańsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=470,wyższe,33 Kielce,Renata Janik,Klub Parlamentarny Platforma Obywatelska,3621,brak,Platforma Obywatelska,3621,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
13-01-2015,None,"26-06-1960, Garwolin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=507,wyższe,17 Radom,Małgorzata Woźniak,Klub Parlamentarny Platforma Obywatelska,2017,brak,Platforma Obywatelska,2017,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
13-01-2015,None,"07-02-1961, Staszów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=505,wyższe,33 Kielce,Romuald Garczewski,Klub Parlamentarny Polskiego Stronnictwa Ludowego,2870,brak,Polskie Stronnictwo Ludowe,2870,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
13-01-2015,None,"28-01-1977, Biskupiec",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=506,wyższe,35 Olsztyn,Urszula Pasławska,Klub Parlamentarny Polskiego Stronnictwa Ludowego,5022,brak,Polskie Stronnictwo Ludowe,5022,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
16-12-2014,None,"01-06-1954, Elblag",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=497,wyższe,34 Elbląg,Tadeusz Naguszewski,Klub Parlamentarny Platforma Obywatelska,3850,poseł VI kadencji,Platforma Obywatelska,3850,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
16-12-2014,None,"20-06-1948, Toruń",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=495,wyższe,4 Bydgoszcz,Grażyna Ciemniak,Klub Parlamentarny Platforma Obywatelska,4590,"senator III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,4590,0:0:0:1:1:1:1,0:0:1:0:0:0:0:1,5,1,5,2
16-12-2014,None,"10-02-1982, Łosice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=496,wyższe,7 Chełm,Marcin Duszek,Klub Parlamentarny Prawo i Sprawiedliwość,5226,brak,Prawo i Sprawiedliwość,5226,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
17-11-2011,None,"25-12-1972, Wrocław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=463,wyższe,2 Wałbrzych,Andrzej Dąbrowski,Klub Parlamentarny Zjednoczona Prawica,4188,brak,Prawo i Sprawiedliwość,4188,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
17-11-2011,None,"15-05-1971, Łódź",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=464,średnie ogólne,9 Łódź,Jarosław Tomasz Jagiełło,Poseł niezrzeszony,6596,"poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,6596,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1
17-12-2014,None,"19-04-1976, Kluczbork",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=499,wyższe,36 Kalisz,Bożena Henczyca,Klub Parlamentarny Platforma Obywatelska,3199,brak,Platforma Obywatelska,3199,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
17-12-2014,None,"14-02-1979, Ostrów Wielkopolski",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=501,wyższe,36 Kalisz,Przemysław Krysztofiak,Klub Parlamentarny Platforma Obywatelska,9004,brak,Platforma Obywatelska,9004,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
17-12-2014,None,"04-08-1976, Chełmno",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=500,wyższe,5 Toruń,Grzegorz Karpiński,Klub Parlamentarny Platforma Obywatelska,6723,poseł VI kadencji,Platforma Obywatelska,6723,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
18-02-2015,None,"19-02-1964, Wieluń",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=509,wyższe,11 Sieradz,Elżbieta Nawrocka,Klub Parlamentarny Polskiego Stronnictwa Ludowego,6370,brak,Polskie Stronnictwo Ludowe,6370,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
19-03-2014,None,"23-05-1956, Niepołomice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=472,wyższe,2 Wałbrzych,Teresa Świło,Klub Parlamentarny Platforma Obywatelska,4431,brak,Platforma Obywatelska,4431,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
19-12-2014,None,"17-04-1953, Pabianice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=502,wyższe,10 Piotrków Trybunalski,Krzysztof Maciejewski,Klub Parlamentarny Prawo i Sprawiedliwość,6442,"poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,6442,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1
19-12-2014,None,"15-09-1979, Słupsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=503,wyższe,26 Gdynia,Jarosław Gromadzki,Klub Poselski Sojusz Lewicy Demokratycznej,3221,brak,Ruch Palikota,3221,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
19-12-2014,None,"18-07-1977, Sosnowiec",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=504,wyższe,32 Sosnowiec,Katarzyna Stachowicz,Klub Parlamentarny Platforma Obywatelska,4263,brak,Platforma Obywatelska,4263,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
25-01-2012,2014-12-02,"10-02-1958, Lidzbark Warmiński",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=466,wyższe,34 Elbląg,Adam Żyliński,Klub Parlamentarny Platforma Obywatelska,6588,"poseł III kadencji, poseł VI kadencji",Platforma Obywatelska,6588,0:0:1:0:0:1:1,0:0:0:0:0:0:0:1,3,1,4,1
22-11-2013,None,"24-09-1985, Opole",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=471,wyższe,21 Opole,Łukasz Tusk,Klub Parlamentarny Platforma Obywatelska,8620,poseł VI kadencji,Platforma Obywatelska,8620,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
23-04-2014,None,"29-11-1954, Turek",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=473,wyższe,37 Konin,Irena Tomaszak-Zesiuk,Klub Parlamentarny Platforma Obywatelska,8546,poseł VI kadencji,Platforma Obywatelska,8546,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
24-06-2014,None,"23-10-1958, Złotów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=489,wyższe,38 Piła,Stanisław Chmielewski,Klub Parlamentarny Platforma Obywatelska,5685,"poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,5685,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1
24-09-2014,None,"05-06-1952, Kielce",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=491,średnie zawodowe,30 Rybnik,Czesław Sobierajski,Klub Parlamentarny Prawo i Sprawiedliwość,2097,"poseł X kadencji, poseł I kadencji, poseł III kadencji",Prawo i Sprawiedliwość,2097,1:0:1:0:0:0:1,0:0:0:0:0:0:0:1,2,1,4,1
27-08-2013,None,"17-03-1956, Łódź",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=469,wyższe,9 Łódź,Elżbieta Królikowska-Kińska,Klub Parlamentarny Platforma Obywatelska,3942,brak,Platforma Obywatelska,3942,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
28-11-2014,None,"28-09-1982, Olkusz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=494,wyższe,12 Kraków,Robert Maciaszek,Klub Parlamentarny Platforma Obywatelska,3479,brak,Platforma Obywatelska,3479,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"30-09-1950, Wola Obszańska",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=065,wyższe,1 Legnica,Zofia Czernow,Klub Parlamentarny Platforma Obywatelska,7740,brak,Platforma Obywatelska,7740,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"01-12-1953, Lubawka",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=175,średnie zawodowe,1 Legnica,Henryk Kmiecik,Klub Parlamentarny Polskiego Stronnictwa Ludowego,13015,brak,Ruch Palikota,13015,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"19-04-1956, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=348,wyższe,1 Legnica,Małgorzata Sekuła-Szmajdzińska,Klub Poselski Sojusz Lewicy Demokratycznej,15883,brak,Sojusz Lewicy Demokratycznej,15883,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-11-1979, Wrocław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=453,wyższe,1 Legnica,Wojciech Zubowski,Klub Parlamentarny Prawo i Sprawiedliwość,6800,brak,Prawo i Sprawiedliwość,6800,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"11-10-1964, Piotrków Trybunalski",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=074,wyższe,10 Piotrków Trybunalski,Marek Domaracki,Klub Poselski Sojusz Lewicy Demokratycznej,9986,brak,Ruch Palikota,9986,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-10-1972, Łowicz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=272,wyższe,11 Sieradz,Cezary Olejniczak,Klub Poselski Sojusz Lewicy Demokratycznej,7082,brak,Sojusz Lewicy Demokratycznej,7082,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"31-10-1985, Łęczyca",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=283,wyższe,11 Sieradz,Michał Tomasz Pacholski,Klub Parlamentarny Polskiego Stronnictwa Ludowego,12918,brak,Ruch Palikota,12918,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"17-04-1967, Kraków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=032,wyższe,12 Kraków,Joanna Bobowska,Klub Parlamentarny Platforma Obywatelska,7976,brak,Platforma Obywatelska,7976,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"20-08-1964, Oświęcim",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=261,wyższe,12 Kraków,Dorota Niedziela,Klub Parlamentarny Platforma Obywatelska,6166,brak,Platforma Obywatelska,6166,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"15-04-1973, Kraków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=373,wyższe,12 Kraków,Krzysztof Szczerski,Klub Parlamentarny Prawo i Sprawiedliwość,4751,brak,Prawo i Sprawiedliwość,4751,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"11-01-1967, Wolbrom",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=097,wyższe,13 Kraków,Lidia Gądek,Klub Parlamentarny Platforma Obywatelska,7191,brak,Platforma Obywatelska,7191,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"16-03-1954, Otwock",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=119,wyższe,13 Kraków,Anna Grodzka,Posłanka niezrzeszona,19451,brak,Ruch Palikota,19451,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"15-12-1978, Zakopane",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=235,wyższe,13 Kraków,Jagna Marczułajtis-Walczak,Klub Parlamentarny Platforma Obywatelska,7289,brak,Platforma Obywatelska,7289,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"02-02-1951, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=256,wyższe,14 Nowy Sącz,Piotr Naimski,Klub Parlamentarny Prawo i Sprawiedliwość,5388,brak,Prawo i Sprawiedliwość,5388,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"01-11-1967, Grybów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=328,wyższe,14 Nowy Sącz,Andrzej Romanek,Klub Parlamentarny Zjednoczona Prawica,9743,brak,Prawo i Sprawiedliwość,9743,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"17-02-1960, Proszowice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=025,wyższe,15 Tarnów,Włodzimierz Bernacki,Klub Parlamentarny Prawo i Sprawiedliwość,18699,brak,Prawo i Sprawiedliwość,18699,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-10-1975, Tarnów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=412,wyższe,15 Tarnów,Robert Wardzała,Klub Parlamentarny Platforma Obywatelska,10437,brak,Platforma Obywatelska,10437,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"04-09-1989, Kraków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=449,wyższe,15 Tarnów,Jan Ziobro,Klub Parlamentarny Zjednoczona Prawica,9347,brak,Prawo i Sprawiedliwość,9347,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"03-10-1960, Płock",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=094,wyższe,16 Płock,Elżbieta Gapińska,Klub Parlamentarny Platforma Obywatelska,10794,brak,Platforma Obywatelska,10794,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"09-10-1974, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=233,wyższe,16 Płock,Maciej Małecki,Klub Parlamentarny Prawo i Sprawiedliwość,9757,brak,Prawo i Sprawiedliwość,9757,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"22-12-1977, Żyrardów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=342,średnie ogólne,16 Płock,Paweł Sajak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,7747,brak,Ruch Palikota,7747,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"17-09-1963, Płock",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=444,wyższe,16 Płock,Piotr Zgorzelski,Klub Parlamentarny Polskiego Stronnictwa Ludowego,4323,brak,Polskie Stronnictwo Ludowe,4323,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"29-11-1974, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=337,wyższe,17 Radom,Armand Kamil Ryfiński,Poseł niezrzeszony,7812,brak,Ruch Palikota,7812,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"24-08-1972, Kędzierzyn-Koźle",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=033,wyższe,18 Siedlce,Bartłomiej Bodio,Klub Parlamentarny Polskiego Stronnictwa Ludowego,8740,brak,Ruch Palikota,8740,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"14-04-1952, Wojcieszów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=290,wyższe,18 Siedlce,Krystyna Pawłowicz,Klub Parlamentarny Prawo i Sprawiedliwość,20681,brak,Prawo i Sprawiedliwość,20681,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"18-12-1968, Garwolin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=429,wyższe,18 Siedlce,Grzegorz Adam Woźniak,Klub Parlamentarny Prawo i Sprawiedliwość,8550,brak,Prawo i Sprawiedliwość,8550,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"22-08-1976, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=167,wyższe,19 Warszawa,Marcin Kierwiński,Klub Parlamentarny Platforma Obywatelska,3580,brak,Platforma Obywatelska,3580,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-02-1949, Usza Mała",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=198,wyższe,19 Warszawa,Ligia Krajewska,Klub Parlamentarny Platforma Obywatelska,3590,brak,Platforma Obywatelska,3590,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"07-12-1972, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=208,wyższe,19 Warszawa,Adam Kwiatkowski,Klub Parlamentarny Prawo i Sprawiedliwość,6284,brak,Prawo i Sprawiedliwość,6284,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"30-04-1951, Londyn",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=410,wyższe,19 Warszawa,Jan Vincent-Rostowski,Klub Parlamentarny Platforma Obywatelska,10743,brak,Platforma Obywatelska,10743,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"15-07-1978, Piekary Śląskie",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=417,wyższe,19 Warszawa,,Poseł niezrzeszony,4615,brak,Prawo i Sprawiedliwość,4615,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"19-10-1972, Wałbrzych",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=178,wyższe,2 Wałbrzych,Agnieszka Kołacz-Leszczyńska,Klub Parlamentarny Platforma Obywatelska,6762,brak,Platforma Obywatelska,6762,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"14-04-1949, Łazy",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=387,wyższe,2 Wałbrzych,Halina Szymiec-Raczyńska,Klub Parlamentarny Polskiego Stronnictwa Ludowego,12654,brak,Ruch Palikota,12654,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
